CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
border rejection,2019-05-08,2019.1718,Greece,Salmonella enterica ser. Brunei (presence /25g) in whitish sesame seeds from Nigeria,"nuts, nut products and seeds",food,serious,physical/chemical treatment,product not (yet) placed on the market,whitish sesame seeds,salmonella enterica ser. brunei,pathogenic micro-organisms,Nigeria
border rejection,2019-05-08,2019.1719,United Kingdom,aflatoxins (B1 = 159 µg/kg - ppb) in groundnut kernels from India,feed materials,feed,serious,import not authorised,product not (yet) placed on the market,groundnut kernels,aflatoxins,mycotoxins,India
border rejection,2019-05-08,2019.1728,Spain,"poor temperature control (between -18 and -3 °C) of frozen tuna in bulk from France, dispatched from Côte d'Ivoire",fish and fish products,food,not serious,destruction,product not (yet) placed on the market,frozen tuna in bulk,poor temperature control,poor or insufficient controls,"Côte d'Ivoire,France"
border rejection,2019-05-08,2019.1730,Luxembourg,aflatoxins (B1 = 15.8; Tot. = 50.4 µg/kg - ppb) in ground berbere (mixed spices) from Ethiopia,herbs and spices,food,serious,placed under customs seals,product allowed to travel to destination under customs seals,ground berbere (mixed spices),aflatoxins,mycotoxins,Ethiopia
border rejection,2019-05-08,2019.1724,France,absence of health certificate(s) and of certified analytical report for blanched peanuts from China,"nuts, nut products and seeds",food,not serious,return to consignor,product not (yet) placed on the market,blanched peanuts,"absence of certified analytical report,absence of health certificate(s)","adulteration / fraud,adulteration / fraud",China
border rejection,2019-05-08,2019.1715,Netherlands,Salmonella (presence /25g) in pepper from Brazil,herbs and spices,food,serious,physical/chemical treatment,product not (yet) placed on the market,pepper,salmonella,pathogenic micro-organisms,Brazil
information for attention,2019-05-08,2019.1720,Netherlands,Salmonella (presence /25g) in black pepper from Brazil,herbs and spices,food,serious,physical/chemical treatment,distribution restricted to notifying country,black pepper,salmonella,pathogenic micro-organisms,Brazil
border rejection,2019-05-08,2019.1716,Netherlands,Salmonella (present /25g) in organic sesame seeds from Uganda,"nuts, nut products and seeds",food,serious,physical/chemical treatment,product not (yet) placed on the market,organic sesame seeds,salmonella,pathogenic micro-organisms,Uganda
border rejection,2019-05-08,2019.1721,Germany,Salmonella enterica ser. Oranienburg (presence /25g) and Salmonella enterica ser. Rubislaw (presence /25g) in black pepper from Brazil,herbs and spices,food,serious,re-dispatch,product not (yet) placed on the market,black pepper,"salmonella enterica ser. oranienburg,salmonella enterica ser. rubislaw","pathogenic micro-organisms,pathogenic micro-organisms",Brazil
border rejection,2019-05-08,2019.1726,Spain,Salmonella (presence /25g) in black pepper from Brazil,herbs and spices,food,serious,import not authorised,product not (yet) placed on the market,black pepper,salmonella,pathogenic micro-organisms,Brazil
border rejection,2019-05-08,2019.1717,Netherlands,Salmonella (presence /25g) in black pepper from Brazil,herbs and spices,food,serious,physical/chemical treatment,product not (yet) placed on the market,black pepper,salmonella,pathogenic micro-organisms,Brazil
information for attention,2019-05-08,2019.1729,Italy,presence of gluten (suspicion) in gluten-free cassava flour from Brazil,cereals and bakery products,food,serious,recall from consumers,distribution restricted to notifying country,gluten-free cassava flour,presence of gluten,allergens,Brazil
information for attention,2019-05-08,2019.1723,Germany,dioxins (0.79; 14.6 pg WHO TEQ/g) in chilled horse meat from the Netherlands,meat and meat products (other than poultry),food,serious,informing recipient(s),product (presumably) no longer on the market,chilled horse meat,dioxins,environmental pollutants,Netherlands
border rejection,2019-05-08,2019.1725,Netherlands,aflatoxins (B1 = 20; Tot. = 38 µg/kg - ppb) in groundnuts from Argentina,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,groundnuts,aflatoxins,mycotoxins,Argentina
information for attention,2019-05-08,2019.1731,Italy,suspicion of illegal import of and incorrect labelling (not in Italian) on cooked and salted duck eggs from China,prepared dishes and snacks,food,not serious,seizure,information on distribution not (yet) available,cooked and salted duck eggs,"incorrect labelling,suspicion of illegal import","labelling absent/incomplete/incorrect,adulteration / fraud",China
border rejection,2019-05-08,2019.1722,Germany,Salmonella enterica ser. Pensacola (present /25g) in sesame seeds with shell from India,"nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,sesame seeds with shell,salmonella enterica ser. pensacola,pathogenic micro-organisms,India
border rejection,2019-05-07,2019.1704,Greece,Salmonella (presence in 3 out of 5 samples /25g) in sesame seeds from Nigeria,"nuts, nut products and seeds",food,serious,physical/chemical treatment,product not (yet) placed on the market,sesame seeds,salmonella,pathogenic micro-organisms,Nigeria
border rejection,2019-05-07,2019.1707,United Kingdom,suffocation risk as a result of the consumption of and E 425 - konjac unauthorised in jelly confectionery from China,confectionery,food,serious,destruction,product not (yet) placed on the market,jelly confectionery,"e 425 - konjac unauthorised,suffocation risk as a result of the consumption","food additives and flavourings,not determined / other",China
alert,2019-05-07,2019.1713,Germany,foreign body (blade of a cutter knife) in red fruit jelly from Germany,ices and desserts,food,serious,withdrawal from the market,distribution to other member countries,red fruit jelly,foreign body,foreign bodies,Germany
alert,2019-05-07,2019.1699,Italy,"mercury (1.20 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Portugal, via Spain",fish and fish products,food,serious,destruction,distribution restricted to notifying country,frozen swordfish (xiphias gladius),mercury,metals,Portugal
alert,2019-05-07,2019.1712,Portugal,Listeria monocytogenes (present /25g) in cooked squid tentacles (Dosidicus gigas) from Spain,cephalopods and products thereof,food,serious,re-dispatch,distribution restricted to notifying country,cooked squid tentacles (dosidicus gigas),listeria monocytogenes,microbial contaminants (other),Spain
border rejection,2019-05-07,2019.1702,Netherlands,aflatoxins (B1 = 7.5; Tot. = 10 µg/kg - ppb) in groundnut kernels from Argentina,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,groundnut kernels,aflatoxins,mycotoxins,Argentina
information for attention,2019-05-07,2019.1709,Austria,Salmonella enterica ser. Infantis (presence /25g) in chilled chicken escalopes from Italy,poultry meat and poultry meat products,food,not serious,no action taken,product (presumably) no longer on the market,chilled chicken escalopes,salmonella enterica ser. infantis,pathogenic micro-organisms,Italy
border rejection,2019-05-07,2019.1701,United Kingdom,aflatoxins (B1 = 7.0; Tot. = 10.8 µg/kg - ppb) in blanched groundnut kernels from Argentina,"nuts, nut products and seeds",food,serious,import not authorised,product not (yet) placed on the market,blanched groundnut kernels,aflatoxins,mycotoxins,Argentina
information for attention,2019-05-07,2019.1706,Denmark,Salmonella enterica ser. Agona (in 4 out of 5 samples /25g) in chilled cooked red shrimps (Hymenopenaeus muelleri) from Denmark,crustaceans and products thereof,food,serious,withdrawal from recipient(s),product (presumably) no longer on the market,chilled cooked red shrimps (hymenopenaeus muelleri),salmonella enterica ser. agona,pathogenic micro-organisms,Denmark
alert,2019-05-07,2019.1710,France,Listeria monocytogenes (<10 CFU/g) in Crottin de Chavignol cheese from France,milk and milk products,food,serious,withdrawal from the market,distribution to other member countries,crottin de chavignol cheese,listeria monocytogenes,microbial contaminants (other),France
information for follow-up,2019-05-07,2019.1714,Sweden,unauthorised novel food ingredient cannabidiol (CBD) in food supplements from the United Kingdom,"dietetic foods, food supplements, fortified foods",food,undecided, ,product traded online,food supplements,unauthorised novel food ingredient cannabidiol (cbd),novel food,United Kingdom
border rejection,2019-05-07,2019.1698,Latvia,"Salmonella enterica ser. Enteritidis (n=5, c=2 /25g) and Salmonella enterica ser. Typhimurium (n=5, c=3 /25g) in chilled liquid egg white from Ukraine",eggs and egg products,food,serious,physical/chemical treatment,product not (yet) placed on the market,chilled liquid egg white,"salmonella enterica ser. enteritidis,salmonella enterica ser. typhimurium","pathogenic micro-organisms,pathogenic micro-organisms",Ukraine
information for attention,2019-05-07,2019.1708,Czech Republic,Salmonella enterica ser. Infantis (presence /25g) in chilled chicken fillets from Slovakia,poultry meat and poultry meat products,food,not serious,no stock left,product (presumably) no longer on the market,chilled chicken fillets,salmonella enterica ser. infantis,pathogenic micro-organisms,Slovakia
border rejection,2019-05-07,2019.1700,Greece,Salmonella enterica ser. Gege (in 2 out of 5 samples /25g) in sesame seeds from Nigeria,"nuts, nut products and seeds",food,serious,physical/chemical treatment,product not (yet) placed on the market,sesame seeds,salmonella enterica ser. gege,pathogenic micro-organisms,Nigeria
alert,2019-05-07,2019.1705,Austria,too high content of gluten (88 mg/kg - ppm) in gluten-free yellow lentil lasagne and spaghetti from Italy,cereals and bakery products,food,serious,withdrawal from the market,distribution to other member countries,gluten-free yellow lentil lasagne and spaghetti,too high content of gluten,allergens,Italy
alert,2019-05-07,2019.1697,Czech Republic,"ochratoxin A (67.6 µg/kg - ppb) in ground nutmeg from Poland, with raw material from Indonesia, via Germany",herbs and spices,food,serious,withdrawal from the market,distribution to other member countries,ground nutmeg,ochratoxin a,mycotoxins,"Indonesia,Poland"
border rejection,2019-05-07,2019.1703,Germany,Salmonella enterica ser. Agona (presence /25g) in frozen peppered turkey breasts from Chile,poultry meat and poultry meat products,food,serious,import not authorised,product not (yet) placed on the market,frozen peppered turkey breasts,salmonella enterica ser. agona,pathogenic micro-organisms,Chile
border rejection,2019-05-06,2019.1693,Spain,poor temperature control (-11.9 °C) of frozen cuttlefish from Mauritania,fish and fish products,food,not serious,import not authorised,product not (yet) placed on the market,frozen cuttlefish,poor temperature control,poor or insufficient controls,Mauritania
information for follow-up,2019-05-06,2019.1692,Finland,"Salmonella enterica ser. Typhimurium (presence /25g) in frozen pork cheeks from Poland, via Estonia",meat and meat products (other than poultry),food,not serious,detained by operator,no distribution from notifying country,frozen pork cheeks,salmonella enterica ser. typhimurium,pathogenic micro-organisms,Poland
