PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
milk and milk products,belgium,denmark,foreign bodies,pieces of wood,undecided
fish and fish products,latvia,russia,food additives and flavourings,sulphite undeclared,undecided
fish and fish products,italy,panama,biological contaminants (other),histamine,undecided
fish and fish products,greece,china,residues of veterinary medicinal products,ciprofloxacin unauthorised,undecided
molluscs and products thereof - (obsolete),greece,turkey,"pathogenic micro-organisms,microbial contaminants (other)","salmonella,too high count of escherichia coli",undecided
molluscs and products thereof - (obsolete),greece,turkey,"microbial contaminants (other),microbial contaminants (other)","too high count of escherichia coli,too high count of coliforms",undecided
poultry meat and poultry meat products,italy,belgium,pathogenic micro-organisms,campylobacter jejuni,undecided
cereals and bakery products,slovenia,slovenia,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 141i - copper complexes of chlorophylls,unauthorised use of colour e 160b - annato/bixin/norbixin",undecided
crustaceans and products thereof,italy,indonesia,microbial contaminants (other),too high count of aerobic mesophiles,undecided
molluscs and products thereof - (obsolete),italy,greece,"microbial contaminants (other),microbial contaminants (other)","too high count of escherichia coli,too high count of faecal coliforms",undecided
molluscs and products thereof - (obsolete),italy,india,microbial contaminants (other),too high count of mesophiles,undecided
"soups, broths, sauces and condiments",germany,russia,composition,unauthorised colour sudan 1,undecided
fruits and vegetables,ireland,south korea,composition,high content of iodine,undecided
fruits and vegetables,germany,belgium,pesticide residues,unauthorised substance dithiocarbamates,undecided
molluscs and products thereof - (obsolete),belgium,chile,microbial contaminants (other),listeria monocytogenes,undecided
food contact materials,slovenia,"china,croatia",migration,migration of 2-ethyl-hexanoic acid,undecided
meat and meat products (other than poultry),norway,spain,"microbial contaminants (other),pathogenic micro-organisms","listeria monocytogenes,salmonella enterica ser. rissen",undecided
"nuts, nut products and seeds",slovenia,united states,"organoleptic aspects,foreign bodies","altered organoleptic characteristics,excrements of insects",undecided
crustaceans and products thereof,norway,vietnam,pathogenic micro-organisms,vibrio parahaemolyticus,undecided
fats and oils,united kingdom,gambia,"composition,composition","unauthorised colour sudan 3,unauthorised colour sudan 4",undecided
herbs and spices,united kingdom,malaysia,microbial contaminants (other),bacillus subtilis,undecided
animal nutrition - (obsolete),sweden,sweden,environmental pollutants,dioxins,undecided
crustaceans and products thereof,united kingdom,indonesia,microbial contaminants (other),aerobic plate count too high,undecided
herbs and spices,spain,turkey,pathogenic micro-organisms,salmonella,undecided
herbs and spices,spain,pakistan,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
meat and meat products (other than poultry),spain,brazil,microbial contaminants (other),listeria monocytogenes,undecided
herbs and spices,spain,albania,pathogenic micro-organisms,salmonella,undecided
fruits and vegetables,spain,pakistan,composition,too high content of erucic acid,undecided
fish and fish products,netherlands,russia,packaging defective / incorrect,damaged packaging,undecided
herbs and spices,italy,tunisia,pathogenic micro-organisms,bacillus cereus,undecided
animal nutrition - (obsolete),denmark,india,foreign bodies,fragments of bones of land animals,undecided
molluscs and products thereof - (obsolete),italy,greece,pathogenic micro-organisms,salmonella enterica ser. blockley,undecided
fruits and vegetables,cyprus,"iran,lebanon",food additives and flavourings,too high content of sulphite,undecided
fish and fish products,italy,spain,pathogenic micro-organisms,foodborne outbreak,undecided
herbs and spices,united kingdom,ghana,adulteration / fraud,attempt to illegally import,undecided
confectionery,italy,philippines,food additives and flavourings,unauthorised use of colour e 123 - amaranth,undecided
prepared dishes and snacks,germany,south korea,radiation,unlabelled irradiation,undecided
fruits and vegetables,united kingdom,india,composition,unauthorised colour sudan 1,undecided
food contact materials,italy,hong kong,"metals,migration","migration of chromium,too high level of overall migration",undecided
food contact materials,italy,china,migration,inner coating cracked,undecided
herbs and spices,united kingdom,lebanon,composition,unauthorised colour sudan 4,undecided
herbs and spices,france,mauritius,composition,unauthorised colour sudan 1,undecided
fish and fish products,belgium,vietnam,poor or insufficient controls,poor temperature control - rupture of the cold chain -,undecided
herbs and spices,france,mauritius,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
fats and oils,sweden,"france,unknown origin",composition,unauthorised colour sudan 4,undecided
food contact materials,finland,"malaysia,taiwan",metals,migration of lead,undecided
"dietetic foods, food supplements, fortified foods",sweden,unknown origin,composition,usnic acid,undecided
milk and milk products,united kingdom,france,pathogenic micro-organisms,salmonella enterica ser. arizonae,undecided
food contact materials,finland,"china,sweden","metals,metals","migration of cadmium,migration of lead",undecided
honey and royal jelly,cyprus,india,residues of veterinary medicinal products,prohibited substance chloramphenicol,undecided
alcoholic beverages,germany,germany,packaging defective / incorrect,risk of physical injury due to explosion of overpressurised,undecided
fruits and vegetables,poland,"belarus,russia",organoleptic aspects,spoilage,undecided
"soups, broths, sauces and condiments",germany,thailand,process contaminants,"3-monochlor-1,2-propanediol (3-mcpd)",undecided
molluscs and products thereof - (obsolete),italy,tunisia,microbial contaminants (other),too high count of escherichia coli,undecided
prepared dishes and snacks,united kingdom,united kingdom,industrial contaminants,chlorine,undecided
fruits and vegetables,france,china,pathogenic micro-organisms,salmonella,undecided
molluscs and products thereof - (obsolete),italy,senegal,metals,lead,undecided
meat and meat products (other than poultry),italy,france,tses,absence of declaration of specified risk material (srm),undecided
fruits and vegetables,denmark,thailand,pesticide residues,unauthorised substance dicrotophos,undecided
confectionery,estonia,taiwan,not determined / other,suffocation risk as a result of the consumption,undecided
fruits and vegetables,finland,greece,mycotoxins,aflatoxins,undecided
confectionery,united kingdom,china,food additives and flavourings,too high content of e 210 - benzoic acid,undecided
crustaceans and products thereof,united kingdom,united arab emirates,residues of veterinary medicinal products,prohibited substance nitrofuran (metabolite) furazolidone (aoz),undecided
confectionery,united kingdom,united states,food additives and flavourings,unauthorised use of colour e 127 - erythrosine,undecided
honey and royal jelly,slovakia,vietnam,residues of veterinary medicinal products,streptomycin unauthorised,undecided
fruits and vegetables,finland,thailand,pesticide residues,unauthorised substance methamidophos,undecided
fruits and vegetables,slovenia,"netherlands,thailand",food additives and flavourings,too high content of sulphite,undecided
"nuts, nut products and seeds",slovenia,united states,"organoleptic aspects,foreign bodies","altered organoleptic characteristics,infested with insects",undecided
poultry meat and poultry meat products,latvia,lithuania,pathogenic micro-organisms,campylobacter jejuni,undecided
"soups, broths, sauces and condiments",italy,italy,composition,unauthorised colour sudan 1,undecided
fruits and vegetables,cyprus,"greece,unknown origin",food additives and flavourings,too high content of sulphite,undecided
fruits and vegetables,cyprus,"greece,turkey",food additives and flavourings,too high content of sulphite,undecided
fruits and vegetables,germany,poland,radiation,too high level of radioactivity,undecided
fish and fish products,united kingdom,united states,packaging defective / incorrect,damaged packaging,undecided
herbs and spices,sweden,lebanon,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
herbs and spices,italy,italy,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
fruits and vegetables,cyprus,moldova,organoleptic aspects,spoilage,undecided
fish and fish products,belgium,"canada,china",residues of veterinary medicinal products,unauthorised substance leucomalachite green,undecided
poultry meat and poultry meat products,belgium,france,organoleptic aspects,spoilage,undecided
meat and meat products (other than poultry),malta,brazil,organoleptic aspects,spoilage,undecided
crustaceans and products thereof,belgium,bangladesh,natural toxins (other),staphylococcal enterotoxin,undecided
meat and meat products (other than poultry),germany,uruguay,poor or insufficient controls,unauthorised operator,undecided
molluscs and products thereof - (obsolete),france,netherlands,microbial contaminants (other),too high count of escherichia coli,undecided
fish and fish products,lithuania,latvia,microbial contaminants (other),bacterial contamination,undecided
honey and royal jelly,germany,turkey,foreign bodies,fragments of thin metal wires,undecided
fruits and vegetables,slovenia,"republic of north macedonia,turkey",pathogenic micro-organisms,salmonella,undecided
